2025-12-14,allenai/Olmo-3-32B-Think,baseline,0,False,1021.0453736782074,19,2,"[[1], [1], [1, 2, 3, 4], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1, 2, 3], [1], [1], [1], [1, 2]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,1,False,616.9530928134918,10,5,"[[1], [1], [1], [1, 2], [1], [1, 2], [1], [1], [1], [1], [1, 2, 3, 4, 5]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,2,True,702.0397298336029,11,1,"[[1], [1], [1], [1], [1, 2], [1], [1, 2, 3], [1, 2], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,4,True,805.3859097957611,15,1,"[[1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,5,True,862.6808640956879,18,1,"[[1], [1], [1], [1], [1, 2], [1], [1], [1], [1, 2], [1, 2], [1], [1, 2, 3, 4], [1], [1], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,6,False,641.2132496833801,19,1,"[[1], [1], [1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,7,True,13.932806730270386,0,1,[[1]]
2025-12-14,allenai/Olmo-3-32B-Think,baseline,8,False,741.1958224773407,19,2,"[[1], [1], [1], [1], [1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1, 2]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,10,True,485.6311581134796,13,1,"[[1], [1], [1, 2], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,11,True,35.92622447013855,1,1,"[[1], [1]]"
2025-12-14,allenai/Olmo-3-32B-Think,baseline,12,False,872.007429599762,15,5,"[[1], [1], [1], [1], [1], [1], [1], [1, 2], [1], [1], [1, 2], [1], [1], [1], [1], [1, 2, 3, 4, 5]]"
